Name,Wetland
Trollius laxus, OBL
Typha X, OBL
Typha angustifolia, OBL
Typha domingensis, OBL
Typha latifolia, OBL
Utricularia cornuta, OBL
Utricularia floridana, OBL
Utricularia foliosa, OBL
Utricularia geminiscapa, OBL
Utricularia gibba, OBL
Utricularia inflata, OBL
Utricularia intermedia, OBL
Utricularia juncea, OBL
Utricularia macrorhiza, OBL
Utricularia minor, OBL
Utricularia olivacea, OBL
Utricularia purpurea, OBL
Utricularia radiata, OBL
Utricularia resupinata, OBL
Utricularia striata, OBL
Utricularia subulata, OBL
Vaccinium caesariense, OBL
Vaccinium formosum, OBL
Vaccinium macrocarpon, OBL
Vaccinium oxycoccos, OBL
Valeriana uliginosa, OBL
Vallisneria americana, OBL
Veronica americana, OBL
Veronica anagallis-aquatica, OBL
Veronica beccabunga, OBL
Veronica scutellata, OBL
Viburnum nudum, OBL
Viola lanceolata, OBL
Wolffia borealis, OBL
Wolffia brasiliensis, OBL
Wolffia columbiana, OBL
Wolffia globosa, OBL
Wolffiella gladiata, OBL
Woodwardia virginica, OBL
Xyris ambigua, OBL
Xyris baldwiniana, OBL
Xyris brevifolia, OBL
Xyris chapmanii, OBL
Xyris difformis, OBL
Xyris elliottii, OBL
Xyris fimbriata, OBL
Xyris flabelliformis, OBL
Xyris jupicai, OBL
Xyris laxifolia, OBL
Xyris louisianica, OBL
Xyris montana, OBL
Xyris platylepis, OBL
Xyris scabrifolia, OBL
Xyris smalliana, OBL
Xyris tennesseensis, OBL
Xyris torta, OBL
Zannichellia palustris, OBL
Zigadenus glaberrimus, OBL
Zizania aquatica, OBL
Zizania palustris, OBL
Zizaniopsis miliacea, OBL
Zostera marina, OBL
Acer saccharinum, FACW
Acmella repens, FACW
Aeschynomene indica, FACW
Agalinis aphylla, FACW
Agalinis linifolia, FACW
Agalinis maritima, FACW
Agalinis paupercula, FACW
Agalinis purpurea, FACW
Agalinis tenella, FACW
Agrimonia parviflora, FACW
Agrostis exarata, FACW
Agrostis gigantea, FACW
Agrostis stolonifera, FACW
Aletris aurea, FACW
Aletris lutea, FACW
Alnus glutinosa, FACW
Alocasia macrorrhizos, FACW
Alopecurus arundinaceus, FACW
Alopecurus carolinianus, FACW
Alopecurus myosuroides, FACW
Alopecurus pratensis, FACW
Althaea officinalis, FACW
Amaranthus pumilus, FACW
